Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login,Chrome 78.0.3904.108,,,2019-12-10 18:10:51,2019-12-10 18:11:11,"20,264s",INCOMPLETE
,,,,,,,
Test Cases/TC_Login,Chrome 78.0.3904.108,,,2019-12-10 18:10:51,2019-12-10 18:11:11,"20,010s",FAILED
"openBrowser(""http://testeresiigojs.azurewebsites.net/#/license"")",Chrome 78.0.3904.108,,,2019-12-10 18:10:51,2019-12-10 18:11:09,"18,170s",PASSED
"setText(findTestObject(""Object Repository/PT/Login/input_Nombre de usuario_username""), findTestData(""Login/DD_Login"").getValue(2, 1))",Chrome 78.0.3904.108,,,2019-12-10 18:11:09,2019-12-10 18:11:11,"1,558s",FAILED
