Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login,Chrome 78.0.3904.108,,,2019-12-10 18:47:24,2019-12-10 18:47:50,"26,791s",INCOMPLETE
,,,,,,,
Test Cases/TC_Login,Chrome 78.0.3904.108,,,2019-12-10 18:47:24,2019-12-10 18:47:50,"26,583s",PASSED
"openBrowser(""http://testeresiigojs.azurewebsites.net/#/license"")",Chrome 78.0.3904.108,,,2019-12-10 18:47:24,2019-12-10 18:47:46,"22,078s",PASSED
"setText(findTestObject(""Login/inputUserName""), findTestData(""Login/DD_Login"").getValue(2, 1))",Chrome 78.0.3904.108,,,2019-12-10 18:47:46,2019-12-10 18:47:48,"1,422s",PASSED
"setText(findTestObject(""Login/inputPassword""), findTestData(""Login/DD_Login"").getValue(3, 1))",Chrome 78.0.3904.108,,,2019-12-10 18:47:48,2019-12-10 18:47:48,"0,236s",PASSED
"click(findTestObject(""Login/buttonLogin""))",Chrome 78.0.3904.108,,,2019-12-10 18:47:48,2019-12-10 18:47:48,"0,156s",PASSED
"waitForElementPresent(findTestObject(""HomePage/ImgLogo""), 5)",Chrome 78.0.3904.108,,,2019-12-10 18:47:48,2019-12-10 18:47:50,"1,735s",PASSED
closeBrowser(),Chrome 78.0.3904.108,,,2019-12-10 18:47:50,2019-12-10 18:47:50,"0,711s",PASSED
