Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login,Chrome 78.0.3904.108,,,2019-12-11 17:18:52,2019-12-11 17:19:15,"23,643s",INCOMPLETE
,,,,,,,
Test Cases/TC_Login,Chrome 78.0.3904.108,,,2019-12-11 17:18:52,2019-12-11 17:19:15,"23,366s",PASSED
"openBrowser(findTestData(""Login/DD_Login"").getValue(1, 1))",Chrome 78.0.3904.108,,,2019-12-11 17:18:52,2019-12-11 17:19:11,"19,057s",PASSED
"setText(findTestObject(""Login/inputUserName""), findTestData(""Login/DD_Login"").getValue(2, 1))",Chrome 78.0.3904.108,,,2019-12-11 17:19:11,2019-12-11 17:19:12,"0,929s",PASSED
"setText(findTestObject(""Login/inputPassword""), findTestData(""Login/DD_Login"").getValue(3, 1))",Chrome 78.0.3904.108,,,2019-12-11 17:19:12,2019-12-11 17:19:13,"0,369s",PASSED
"click(findTestObject(""Login/buttonLogin""))",Chrome 78.0.3904.108,,,2019-12-11 17:19:13,2019-12-11 17:19:13,"0,158s",PASSED
"waitForElementPresent(findTestObject(""HomePage/ImgLogo""), 5)",Chrome 78.0.3904.108,,,2019-12-11 17:19:13,2019-12-11 17:19:15,"1,710s",PASSED
closeBrowser(),Chrome 78.0.3904.108,,,2019-12-11 17:19:15,2019-12-11 17:19:15,"0,797s",PASSED
