Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login,Chrome 78.0.3904.108,,,2019-12-10 18:46:00,2019-12-10 18:46:25,"24,677s",INCOMPLETE
,,,,,,,
Test Cases/TC_Login,Chrome 78.0.3904.108,,,2019-12-10 18:46:01,2019-12-10 18:46:25,"24,475s",PASSED
"openBrowser(""http://testeresiigojs.azurewebsites.net/#/license"")",Chrome 78.0.3904.108,,,2019-12-10 18:46:01,2019-12-10 18:46:20,"19,514s",PASSED
"setText(findTestObject(""Login/inputUserName""), findTestData(""Login/DD_Login"").getValue(2, 1))",Chrome 78.0.3904.108,,,2019-12-10 18:46:20,2019-12-10 18:46:22,"1,295s",PASSED
"setText(findTestObject(""Login/inputPassword""), findTestData(""Login/DD_Login"").getValue(3, 1))",Chrome 78.0.3904.108,,,2019-12-10 18:46:22,2019-12-10 18:46:22,"0,262s",PASSED
"click(findTestObject(""Login/buttonLogin""))",Chrome 78.0.3904.108,,,2019-12-10 18:46:22,2019-12-10 18:46:22,"0,169s",PASSED
"waitForElementPresent(findTestObject(""HomePage/ImgLogo""), 5)",Chrome 78.0.3904.108,,,2019-12-10 18:46:22,2019-12-10 18:46:24,"2,279s",PASSED
closeBrowser(),Chrome 78.0.3904.108,,,2019-12-10 18:46:24,2019-12-10 18:46:25,"0,718s",PASSED
