Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login,Chrome 78.0.3904.108,,,2019-12-11 17:14:21,2019-12-11 17:14:55,"34,001s",INCOMPLETE
,,,,,,,
Test Cases/TC_Login,Chrome 78.0.3904.108,,,2019-12-11 17:14:21,2019-12-11 17:14:55,"33,623s",PASSED
"openBrowser(findTestData(""Login/DD_Login"").getValue(1, 1))",Chrome 78.0.3904.108,,,2019-12-11 17:14:22,2019-12-11 17:14:50,"27,773s",PASSED
"setText(findTestObject(""Login/inputUserName""), findTestData(""Login/DD_Login"").getValue(2, 1))",Chrome 78.0.3904.108,,,2019-12-11 17:14:50,2019-12-11 17:14:51,"1,745s",PASSED
"setText(findTestObject(""Login/inputPassword""), findTestData(""Login/DD_Login"").getValue(3, 1))",Chrome 78.0.3904.108,,,2019-12-11 17:14:51,2019-12-11 17:14:52,"0,248s",PASSED
"click(findTestObject(""Login/buttonLogin""))",Chrome 78.0.3904.108,,,2019-12-11 17:14:52,2019-12-11 17:14:52,"0,144s",PASSED
"waitForElementPresent(findTestObject(""HomePage/ImgLogo""), 5)",Chrome 78.0.3904.108,,,2019-12-11 17:14:52,2019-12-11 17:14:54,"2,316s",PASSED
closeBrowser(),Chrome 78.0.3904.108,,,2019-12-11 17:14:54,2019-12-11 17:14:55,"0,843s",PASSED
